Over 18,White,Median Income,Graduation %,Unemployment...21,Bachelor,16 Rep Vote,16 Dem Vote,18 Inc,16 Funds Got,16 Funds Spent,won,total_votes
0.7341590618,0.6996755451,0.42173,0.769,0.08337377735,0.168,0,1,-1,-1,-1,1,174243
0.8087353186,0.885975877,0.45933,0.876,0.08337377735,0.193,0.714533522,0.285466478,1,0.9515848755,0.9567878637,0,120484
0.7369327791,0.844638947,0.68292,0.94,0.08337377735,0.36,0.6409516312,0.3590483688,1,0.9999427685,0.9999040688,0,183171
0.7947060799,0.8500256038,0.64223,0.935,0.08337377735,0.444,0.6213029059,0.3786970941,1,0.9999999684,0.9999999634,0,199644
0.704641254,0.6637381935,0.36097,0.688,0.08337377735,0.138,0.2474693073,0.7525306927,-1,-0.9962438263,-0.9743024113,1,165452
0.7913827444,0.8264055439,0.60342,0.917,0.08337377735,0.307,1,0,1,1,1,0,170816
0.7849439716,0.7344962903,0.52245,0.901,0.08337377735,0.397,0.3905841639,0.6094158361,0,-0.9140001344,-0.6500198046,1,217094
0.7340017546,0.7414027612,0.56256,0.81,0.103711194,0.179,0.5170045741,0.4829954259,1,0.1075422478,0.1673992676,1,166865
0.7788767692,0.5950833295,0.78487,0.875,0.103711194,0.441,0.2794717799,0.7205282201,-1,-0.9999995633,-0.9999844093,1,271063
0.8684635799,0.4772658041,0.88364,0.888,0.103711194,0.596,0,1,-1,-1,-1,1,281776
0.8684635799,0.4772658041,0.88364,0.888,0.103711194,0.596,0,1,-1,-1,-1,0,81174
0.8101328888,0.4138830959,0.64948,0.849,0.103711194,0.482,0.09215445178,0.9078455482,-1,-1,-1,1,327863
0.8011710905,0.4235175287,0.93666,0.892,0.103711194,0.489,0,1,-1,-1,-1,1,278227
0.768884639,0.4220110595,0.97232,0.904,0.103711194,0.459,0.2623320468,0.7376679532,-1,-1,-1,1,242991
0.708344067,0.5808029181,0.38381,0.672,0.103711194,0.121,0.4196515754,0.5803484246,-1,-0.2283541877,-0.2276895833,1,128690
0.792368606,0.2763689277,1.07946,0.918,0.103711194,0.564,0,1,-1,-1,-1,1,212137
0.7844109822,0.6260488362,1.12702,0.937,0.103711194,0.645,0.2885499954,0.7114500046,-1,-0.9999984293,-0.9999972886,1,217377
0.7844109822,0.6260488362,1.12702,0.937,0.103711194,0.645,0.2885499954,0.7114500046,-1,-0.9999984293,-0.9999972886,0,126750
0.7660358003,0.428275365,0.8501,0.823,0.103711194,0.365,0.2605556753,0.7394443247,-1,-1,-1,1,224385
0.800911706,0.859649074,0.46594,0.9,0.103711194,0.248,0.5905310219,0.4094689781,1,0.4573462337,0.4753967534,0,154073
0.7564111004,0.5787328949,0.62732,0.759,0.103711194,0.28,0.2924692425,0.7075307575,-1,-0.2312738714,-0.1495807256,1,236896
0.7061281447,0.7112469881,0.53868,0.818,0.103711194,0.252,0.6756509452,0.3243490548,1,1,1,0,144251
0.7295204259,0.752137314,0.56167,0.816,0.103711194,0.207,0.69175110930000006,0.3082488907,1,1,1,0,115896
0.7946567681,0.8064939821,0.64676,0.855,0.103711194,0.349,0.4658091334,0.5341908666,-1,-0.03348987254,-0.03455692717,1,212564
